sasdate,Y,K,h,l,H,phi
1998-01-01,48183.296,28023.05,162114.6666,342430.6666,318.1,0.24373007531458502
1999-01-01,50493.444,30500.31,168389.3334,348514.9999,365.1,0.25209779343209365
2000-01-01,52552.141,32968.28,173493.3335,354577.9999,411.3,0.2559207898190949
2001-01-01,53053.668,32334.01,175449.6668,352870.33330000006,415.0,0.26181197301387554
2002-01-01,53953.428,32986.78,175077.6667,347468.6666,406.2,0.26735184636162995
2003-01-01,55462.077,34463.98,176512.0,344799.0,418.7,0.2720714104426432
2004-01-01,57598.784,37793.65,179539.3332,347489.33349999995,437.8,0.2769162439264539
2005-01-01,59605.076,41016.3,183719.0,352370.6666,473.1,0.27661102515221764
2006-01-01,61263.773,43342.33,188706.6664,357029.3337000001,506.3,0.27996080965583375
2007-01-01,62495.486000000004,43782.12,192224.0001,359685.99979999993,544.8,0.2873743039759569
2008-01-01,62571.848,41435.4,192858.0001,356040.33320000005,574.4,0.2943735513614019
2009-01-01,60945.049,35293.16,187611.0001,337544.33320000005,564.4,0.295403081423204
2010-01-01,62595.964,37886.44,188611.0001,332735.9999,578.2,0.2993077507902845
2011-01-01,63566.136,39904.08,192310.6665,335376.00019999995,621.7,0.30436681006038413
2012-01-01,65015.880000000005,43206.6,196878.3333,339748.0001,655.7,0.3093719296702008
2013-01-01,66213.39,45405.36,201019.0002,344403.66649999993,691.9,0.31660858679838955
2014-01-01,67728.207,48072.44,205043.6666,350645.33329999994,730.5,0.319556398629633
2015-01-01,69561.18100000001,50743.18,210352.3334,356864.6666,762.7,0.3250098994965399
2016-01-01,70721.095,51012.57,215301.6665,362029.66680000006,821.2,0.33439527474827335
2017-01-01,72316.336,53531.68,219813.3333,366565.3333,875.0,0.34161284522936924
2018-01-01,74427.146,57096.49,224047.3333,371524.00000000006,956.7,0.34992494200063684
2019-01-01,76130.686,59796.12,228222.9998,375377.3336,1034.8,0.36037890896612756
2020-01-01,73538.749,59318.28,219651.3333,349358.33339999994,1078.5,0.3752432102861139
